Alle Messreihen beschreiben die Messung der zeitlichen Mittelwerte U der Gleichspannung als Funktion des Laststromes I für Ein- und Zweiweggleichrichtung (1Weg bzw. 2Weg) mit und ohne Kondensator (mitC bzw. ohneC),,,,,,,,,,,,,,,
in mA,in V,in mA,in V,in mA,in V,in mA,in V,,,,,,,,
I_1Weg_ohneC,U_1Weg_ohneC,I_1Weg_mitC,U_1Weg_mitC,I_2Weg_ohneC,U_2Weg_ohneC,I_2Weg_mitC,U_2Weg_mitC,uI1oC,uI1mC,uI2oC,uI2mC,uV1oC,uV1mC,uV2oC,uV2mC
0.058,93,0.1,287,0.076,187,0.111,295,2.5488E-06,2.82843E-06,2.66413E-06,2.90725E-06,2.015564437,2.015564437,2.015564437,2.015564437
0.9,90,0.126,285,0.092,187,0.124,295,1.0198E-05,3.01788E-06,2.77244E-06,3.00293E-06,2.015564437,2.015564437,2.015564437,2.015564437
0.247,90,0.157,285,0.266,187,0.224,290,4.00511E-06,3.25652E-06,4.1708E-06,3.80757E-06,2.015564437,2.015564437,2.015564437,2.015564437
0.13,90,0.218,283,0.507,185,0.286,290,3.04795E-06,3.75665E-06,6.391E-06,4.34737E-06,2.015564437,2.015564437,2.015564437,2.015564437
0.307,90,0.725,265,0.82,183,0.77,280,4.53485E-06,8.48896E-06,9.41488E-06,8.92693E-06,2.015564437,2.015564437,2.015564437,2.015564437
0.401,90,0.395,275,1.203,177,1.24,275,5.39445E-06,5.33877E-06,1.31826E-05,3.00293E-05,2.015564437,2.015564437,2.015564437,2.015564437
1.123,85,0.277,280,2.38,177,1.8,270,1.23925E-05,4.26766E-06,3.92739E-05,3.44093E-05,2.015564437,2.015564437,2.015564437,2.015564437
2.26,85,1.137,263,3.13,177,3.32,250,3.8246E-05,1.25306E-05,4.58878E-05,4.7605E-05,2.015564437,2.015564437,2.015564437,2.015564437
3.62,83,1.595,237,4.6,175,4.5,240,5.03432E-05,1.70676E-05,5.94643E-05,5.85235E-05,2.015564437,2.015564437,2.015564437,2.015564437
5.2,80,1.995,225,6.4,170,5.96,225,6.5146E-05,2.10452E-05,7.66551E-05,7.24166E-05,2.015564437,2.015564437,2.015564437,2.015564437
6.7,77,2.79,210,8.75,165,12.05,185,7.9555E-05,4.28534E-05,9.95301E-05,0.000132024,2.015564437,2.015564437,2.015564437,2.015564437
9.31,73,2.36,220,9.56,160,14.81,170,0.000105022,3.91019E-05,0.000107477,0.00015936,2.015564437,2.015564437,2.015564437,2.015564437
15.13,60,3.42,195,108.1,5,19.8,153,0.000162535,4.85143E-05,0.001197815,0.000208959,2.015564437,2.015564437,2.015564437,2.015564437
19.58,43,4.44,179,87.9,35,25.5,140,0.00020677,5.796E-05,0.00099922,0.000407462,2.015564437,2.015564437,2.015564437,2.015564437
32.1,35,6.54,123,74.2,60,33.9,130,0.000466091,7.80074E-05,0.000865427,0.000482412,2.015564437,2.015564437,2.015564437,2.015564437
37.3,30,5.45,145,56.3,87,64.1,77,0.000513546,6.75296E-05,0.000692509,0.000767516,2.015564437,2.015564437,2.015564437,2.015564437
34.3,33,25.4,50,38,117,74.2,60,0.000486055,0.000406591,0.00052,0.000865427,2.015564437,2.015564437,2.015564437,2.015564437
40.2,25,17,65,24.4,140,81.9,45,0.000540374,0.000336006,0.000397915,0.000940511,2.015564437,2.015564437,2.015564437,2.015564437
44,20,37.2,30,16.2,155,102.8,10,0.000575847,0.000512625,0.000329612,0.001145593,2.015564437,2.015564437,2.015564437,2.015564437
48.9,9,44.5,17,12.1,160,96.6,20,0.00062203,0.000580539,0.000298062,0.001084599,2.015564437,2.015564437,2.015564437,2.015564437
