Winkel in Grad,senkrecht zur Einfallsebene polarisiertes Licht (mV),,
winkel,intenseSP,offsetIntense,winkelT
10,0.1543,-0.003,26
15,0.1455,-0.0028,34
20,0.1684,-0.003,49
25,0.2171,-0.003,58
30,0.2116,-0.003,66
35,0.2869,-0.003,75
40,0.286,-0.0028,87
45,0.3592,-0.003,93
50,0.4393,-0.003,103
55,0.5904,-0.003,113
60,0.7616,-0.003,127
65,0.9749,-0.0027,133
70,1.3201,-0.0031,141
75,1.5915,-0.0031,150
80,2.0778,-0.003,159
85,2.2222,-0.003,176
52,0.4873,-0.0031,109
54,0.4701,-0.003,112
56,0.6004,-0.0029,117
58,0.6518,-0.003,121
