Raumtemperatur (Anfang):,Raumtemperatur (14:00): ,Raumtemperatur (15:00):,Raumtemperatur (16:00):,,,,14:24,23.8 °C
Äußerer Luftdruck (Anfang):,Äußerer Luftdruck (14:00):,Äußerer Luftdruck (15:00):,Äußerer Luftdruck (16:00):,Luftdruck kann man mit Handy messen,,,,
,,,,,,,,
(in cm),(in cm),(in Bar),(1% vom Endbereich des Manometers, in Bar),In Spalten E und F das Ergebnis aus Python-Skript Nummer 7 eintragen!,,,
Laenge,dL,Druck,dp,,,,,
6,0.1,2.36,0.267,,,,,
7,0.1,2.05,0.263,,,,,
8,0.1,1.81,0.260,,,,,
9,0.1,1.61,0.258,,,,,
10,0.1,1.47,0.257,,,,,
10.5,0.1,1.4,0.256,,,,,
11,0.1,1.33,0.256,,,,,
11.5,0.1,1.28,0.255,,,,,
12,0.1,1.21,0.255,,,,,
12.5,0.1,1.18,0.254,,,,,
13,0.1,1.12,0.254,,,,,
13.5,0.1,1.1,0.254,,,,,
14,0.1,1.05,0.254,,,,,
14.5,0.1,1.01,0.253,,,,,
15,0.1,1,0.253,,,,,
15.5,0.1,0.95,0.253,,,,,
16,0.1,0.92,0.253,,,,,
16.5,0.1,0.9,0.253,,,,,
17,0.1,0.88,0.252,,,,,
