Messreihe 1,,,,Messreihe 2,,,,Messreihe 3,,,,Messreihe 4,Daten von Frowine und Tim,,,Messreihe 5,Daten von Frowine und Tim,,,Messreihe 6,,,
Zeit in s,,,Höhe in mm,Zeit in s,,,Höhe in mm,Zeit in s,,,Höhe in mm,Zeit in s,,,Höhe in mm,Zeit in s,,,Höhe in mm,Zeit in s,,,Höhe in mm
t_MR1,hl_MR1,hr_MR2,h_MR1,t_MR2,hl_MR2,hr_MR2,h_MR2,t_MR3,hl_MR3,hr_MR3,h_MR3,t_MR4,hl_MR4,hr_MR4,h_MR4,t_MR5,hl_MR5,hr_MR5,h_MR5,t_MR6,hl_MR6,hr_MR6,h_MR6
12,8.5,15.5,7,7,7.9,16,8.1,7,6.3,17.5,11.2,37,7,15.5,8.5,7,7.7,14.9,7.2,10,7.3,15.2,7.9
64,9,15,6,62,8.5,15.5,7,57,7,16.9,9.9,60,7.2,15.2,8,50,8.2,14.4,6.2,60,7.8,14.8,7
125,9,15,6,124,8.7,15.4,6.7,125,7.1,16.9,9.8,97,7.3,15.3,8,90,8.3,14.4,6.1,120,7.8,14.8,7
186,9,15,6,178,8.6,15.4,6.8,184,7.1,16.8,9.7,150,7.3,15.2,7.9,150,8.3,14.3,6,180,7.9,14.8,6.9
247,9.1,14.9,5.8,242,8.7,15.4,6.7,244,7.1,16.8,9.7,210,7.4,15.2,7.8,210,8.3,14.4,6.1,240,7.9,14.8,6.9
297,9.1,14.9,5.8,295,8.7,15.4,6.7,295,7.1,16.8,9.7,270,7.4,15.2,7.8,260,8.3,14.3,6,300,7.9,14.7,6.8
342,11.7,11.9,0.2,342,11.7,12.1,0.4,340,11.7,11.8,0.1,300,7.4,15.1,7.7,300,8.3,14.3,6,340,11,11.7,0.7
377,11.4,12.4,1,367,11.4,12.4,1,367,11.2,12.6,1.4,360,10.7,11.9,1.2,340,11.6,11.1,-0.5,360,10.7,12,1.3
432,11.3,12.5,1.2,422,11.3,12.6,1.3,428,11,12.8,1.8,390,10.5,12.1,1.6,370,10.7,11.9,1.2,390,10.5,12.1,1.6
487,11.4,12.6,1.2,486,11.3,12.6,1.3,498,11,13.1,2.1,450,10.5,12.1,1.6,410,10.7,12,1.3,450,10.4,12.1,1.7
545,11.3,12.5,1.2,541,11.3,12.6,1.3,546,10.9,13.1,2.2,510,10.5,12.1,1.6,470,10.7,12,1.3,500,10.4,12.1,1.7
607,11.3,12.5,1.2,601,11.3,12.6,1.3,607,10.9,13.1,2.2,570,10.5,12.1,1.6,520,10.7,11.9,1.2,550,10.5,12.1,1.6
655,11.3,12.5,1.2,653,11.3,12.6,1.3,663,10.9,13,2.1,600,10.5,12.1,1.6,600,10.8,11.9,1.1,600,10.5,12.1,1.6
